image_name,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,x_21,y_21,z_21
frame_000,0.0,0.94508517,0.0,0.056120362,0.8596262,0.0043328735,-0.06871715,0.862339,-0.001436478,0.011005631,1.067344,-0.042303972,0.05180329,0.46571317,0.016538037,-0.16746032,0.55163467,0.18921854,0.025313495,1.2069931,-0.023923047,-0.0028526112,0.05348589,-0.095181786,-0.13425577,0.25165668,-0.08377445,0.028844347,1.2540505,0.0072133923,0.018181771,0.011365682,0.042807844,-0.17924395,0.14629418,-0.0039775968,0.048161086,1.4677447,-0.0093472805,0.11063914,1.3583317,-0.0026666168,-0.033668164,1.3806354,-0.022785388,0.04884053,1.5331111,0.06299241,0.2357113,1.3267951,-0.007888528,-0.14993697,1.3761185,-0.056214653,0.2676662,1.0787915,-0.04698908,-0.20427951,1.1382681,-0.121469975,0.31651416,0.84596,0.06509722,-0.3314779,0.92236346,-0.015260443
frame_001,0.00045820407,0.94397986,0.013399526,0.056359474,0.858923,0.02044823,-0.06916966,0.865102,0.015112523,0.015621664,1.0651416,-0.033326317,0.050332475,0.46224764,0.015624782,-0.17895594,0.5927555,0.24481834,0.030057753,1.2060771,-0.01800485,0.0030396562,0.053972576,-0.09656568,-0.13632268,0.29275823,-0.020684078,0.03265243,1.2534132,0.01327619,0.021230964,0.010537125,0.042539503,-0.1864136,0.1874457,0.061690573,0.052226335,1.4687574,-0.0014090668,0.11425056,1.3581249,0.0066284486,-0.028996894,1.38229,-0.018923227,0.05115133,1.5336341,0.072477184,0.23687491,1.325182,0.005468456,-0.14374569,1.3780963,-0.054821342,0.26227129,1.0778363,-0.02981652,-0.19201888,1.1352488,-0.12274511,0.30823863,0.8462931,0.08576377,-0.32530463,0.92356354,-0.014756369
frame_002,0.0004678839,0.9446657,0.027388474,0.054397956,0.857317,0.038277894,-0.07117789,0.86403877,0.031064328,0.018244136,1.0650048,-0.023985649,0.04891481,0.46606082,0.023714893,-0.1755463,0.6416189,0.29773307,0.030002678,1.2052039,-0.011037579,0.008321887,0.05814412,-0.09255994,-0.14735778,0.31765485,0.06676516,0.03077264,1.2515571,0.020636585,0.021423852,0.015423551,0.048650097,-0.20444506,0.22360273,0.15157713,0.049455274,1.4674402,0.004565891,0.111577876,1.3581053,0.013566814,-0.030536035,1.3796238,-0.0122666005,0.044980235,1.5356044,0.07685704,0.23445477,1.3271508,0.015448546,-0.14507116,1.3759571,-0.047008418,0.26261967,1.0792916,-0.019242736,-0.19526108,1.1370981,-0.118987806,0.30636433,0.848239,0.10199436,-0.32833958,0.92044145,-0.020325916
frame_003,-0.0005969397,0.9439227,0.042803705,0.052675556,0.8558739,0.05466974,-0.07341005,0.86427706,0.04865644,0.018328158,1.0642165,-0.008329801,0.048441067,0.4645882,0.028593034,-0.17968224,0.6717104,0.3431372,0.030592497,1.2042676,0.0022451654,0.008787748,0.059569374,-0.09737314,-0.16056257,0.32640532,0.16112602,0.031631052,1.2504143,0.03464676,0.021441437,0.016178891,0.044368137,-0.2181864,0.24533153,0.25844914,0.049637087,1.4666505,0.0136902165,0.1122219,1.3569959,0.025666488,-0.02976847,1.3784317,-0.002407793,0.044740204,1.5347033,0.08714914,0.2362373,1.3270884,0.027685568,-0.14380965,1.3761535,-0.03980007,0.2627446,1.0797609,-0.002838239,-0.19089131,1.1337955,-0.10849069,0.30469847,0.8523,0.12378982,-0.32583016,0.91211706,-0.012023278
frame_004,-0.0019302733,0.9450731,0.0592715,0.050844923,0.8562103,0.07027933,-0.07462906,0.8664392,0.068138205,0.01496552,1.0636326,0.0076036006,0.04774805,0.46666315,0.034537036,-0.17845015,0.69472325,0.37621862,0.028482964,1.204493,0.016552161,0.0035726447,0.06262727,-0.10006641,-0.16854468,0.32403722,0.2500278,0.030801833,1.2512867,0.04755048,0.023024904,0.01938673,0.040538706,-0.22207117,0.2576915,0.35559386,0.04422325,1.4670932,0.022378568,0.10904417,1.3588014,0.035086058,-0.03409741,1.3780714,0.008396547,0.038727485,1.5363402,0.094668984,0.23354957,1.3316329,0.036988117,-0.14918712,1.3737831,-0.025632039,0.25874472,1.0855397,0.009519592,-0.1918695,1.131848,-0.09335077,0.29963836,0.8631746,0.14079629,-0.31893495,0.9099382,0.0014027655
frame_005,-0.003574702,0.94538873,0.07703684,0.04926294,0.85780156,0.08973325,-0.07567059,0.8673736,0.08851324,0.012891428,1.0645032,0.02415933,0.04442785,0.46683285,0.04582289,-0.17875852,0.6946317,0.4000901,0.026281714,1.2051654,0.028272573,-0.003998832,0.06576666,-0.10309568,-0.17957847,0.30798703,0.34041476,0.028940536,1.2523745,0.060378008,0.015161854,0.020666992,0.037765585,-0.23440783,0.2552285,0.45362532,0.038456526,1.4693857,0.033426072,0.10474056,1.3609768,0.04538734,-0.038546015,1.3783559,0.020602103,0.033454232,1.5380958,0.10765217,0.23079759,1.3363076,0.045691937,-0.1540233,1.3721442,-0.011457354,0.25470215,1.0891255,0.021426234,-0.19056223,1.1257019,-0.073979005,0.292455,0.8642812,0.1550813,-0.31179494,0.90092975,0.021210887
frame_006,-0.0053245523,0.9437392,0.09657495,0.048590038,0.8567391,0.1099951,-0.07668091,0.86480296,0.11010315,0.008972209,1.0624973,0.041536435,0.04207657,0.46447766,0.061603125,-0.18009584,0.6796965,0.4186154,0.022310024,1.2040663,0.044115048,-0.012815051,0.0672771,-0.09858611,-0.1907426,0.28721872,0.4137168,0.025112696,1.2513839,0.0762405,0.008059179,0.023656327,0.04080917,-0.2464066,0.25003302,0.52948725,0.032528553,1.4692739,0.049454793,0.100435376,1.3610619,0.059831865,-0.044620328,1.3771423,0.037857983,0.027892513,1.5363095,0.123676874,0.22625662,1.3374685,0.058028795,-0.16090506,1.3698691,0.008075289,0.24769057,1.0892898,0.03287667,-0.19318211,1.120357,-0.053121537,0.2842699,0.8636265,0.16669464,-0.30696523,0.89059263,0.036618963
frame_007,-0.007613222,0.9395622,0.11737834,0.04669143,0.85355216,0.12980635,-0.077448994,0.8590804,0.13375895,0.0013215048,1.0583612,0.06216955,0.04382453,0.46241292,0.0767528,-0.17343974,0.6451083,0.42784238,0.015783824,1.2005446,0.060042135,-0.017049734,0.067871034,-0.08895327,-0.20538677,0.25379738,0.47447228,0.020378593,1.2476591,0.09209847,0.008731787,0.022347258,0.04992708,-0.2512871,0.23390426,0.59748054,0.025590971,1.4659778,0.066506594,0.0939996,1.3583891,0.074219525,-0.051494803,1.3737622,0.055676542,0.023519065,1.5315205,0.14217791,0.21932495,1.3386885,0.07039243,-0.16928278,1.3661091,0.029674113,0.23861557,1.0894481,0.04273674,-0.19849041,1.1136453,-0.029782295,0.27601942,0.8628385,0.17115326,-0.30568275,0.8825116,0.057470076
frame_008,-0.010656075,0.9329497,0.13955171,0.045173984,0.84830624,0.14929706,-0.079844825,0.85247874,0.15826553,-0.0052008685,1.0518306,0.08602251,0.04037616,0.45754105,0.10083667,-0.17354329,0.60620254,0.43246788,0.009655735,1.1941814,0.08084339,-0.026381638,0.06859173,-0.07469644,-0.21889095,0.22213182,0.52897245,0.015300731,1.2406895,0.113242455,0.005605691,0.024142116,0.062314473,-0.2559179,0.21524642,0.6575658,0.017392956,1.4582208,0.08449587,0.086570635,1.351611,0.091201864,-0.05783246,1.365362,0.078044936,0.019101247,1.5234296,0.16121876,0.21255648,1.3343819,0.08316658,-0.17533621,1.357565,0.05425813,0.23281261,1.0858219,0.054400563,-0.20490178,1.1051822,-0.0008572787,0.27406034,0.8584461,0.17309055,-0.30158725,0.8688147,0.08399181
frame_009,-0.014540466,0.9246502,0.16354889,0.043525793,0.84100735,0.17185175,-0.08166079,0.8419535,0.181083,-0.015013543,1.0439444,0.1119403,0.047289774,0.4513982,0.12396789,-0.17214999,0.564809,0.42728776,-0.0012859507,1.1862887,0.10576104,-0.019130295,0.06505966,-0.061808646,-0.2347281,0.188176,0.5641914,0.0051746275,1.2335802,0.13750282,0.019978313,0.021568876,0.07419621,-0.26484993,0.19205624,0.69437826,0.008208195,1.4512082,0.1077757,0.07685213,1.3446689,0.11363979,-0.068740934,1.3572625,0.10291858,0.012319131,1.5169826,0.18605757,0.20200996,1.3277984,0.10121209,-0.18743886,1.349431,0.08206223,0.22233291,1.0803152,0.0725107,-0.21373087,1.0959377,0.027971417,0.27016154,0.85125864,0.1813624,-0.3043441,0.8565349,0.10737735
